,0,aif,autonews,championat,commers,echo,express,fontanka,gazeta,govorit,indicator,interfax,iz,kp,lenta,mediazona,meduza,mk,moscow,motor,novaya,nplus1,ntv,postnauka,radiovesti,rbk,review,ria,rosgazeta,rt,sports,svoboda,tass,thebell,tv1,tvrain,vedomosti,zarulem,zvezda
0,Чиновник,9.902215620745142e-05,,,0.0005970372028807046,0.00015114873035066505,,0.00035231116121758736,0.00017219787100814022,0.000561104253170239,,0.00010655301012253596,0.00014006474103585658,0.00018299537283128695,0.0005658208823269384,0.0009055236945366736,0.0008383735553027128,0.00034963288547025626,2.2237046920169e-05,,0.0006667111140742716,,8.235366782648082e-05,,,9.461856889414548e-05,,9.646789686203712e-05,0.0001995040898338416,1.0518565267697487e-05,,8.750437521876094e-05,6.0459187529284925e-05,,,,0.0002343841556310793,,8.96807365777831e-05
1,Гудков,0.00014853323431117713,,,0.0003233951515603816,0.0013099556630390972,,7.046223224351747e-05,1.5654351909830933e-05,0.00033666255190214334,,0.0004049014384656367,,8.714065372918428e-05,3.536380514543365e-05,0.001006137438374082,0.0009581412060602431,0.00019979022026871785,,,0.0008667244482965531,,4.117683391324041e-05,,,0.00047309284447072733,,0.0001033584609236112,0.00025650525835779634,8.41485221415799e-05,,0.0009625481274063703,5.03826562744041e-05,0.000574052812858783,0.0001747457449411107,0.004095563139931741,0.00380874252900504,,
2,Скляр,4.951107810372571e-05,,,0.00017413585084020546,,,,4.6963055729492795e-05,,,4.2621204049014384e-05,3.112549800796813e-05,,1.7681902572716824e-05,,,2.497377753358973e-05,,,6.667111140742716e-05,,0.00016470733565296164,,,4.730928444707274e-05,,6.201507655416674e-05,4.2750876392966054e-05,3.1555695803092456e-05,,,9.572704692136779e-05,,,,0.000703152466893238,,2.9893578859261028e-05
3,Волков,0.000841688327763337,,0.0011046906866077498,0.0005348458275806311,0.0004030632809351068,0.0004082465809348847,0.0002113866967305524,0.0006183469004383219,0.0006733251038042867,,0.0004901438465636654,0.0004513197211155378,0.0005315579877480241,0.0004066837591724869,0.0017104336452359392,0.0018563985867417212,0.0002497377753358973,0.0004669779853235489,,0.0007000466697779852,,0.0009470671800045293,,,0.0008279124778237728,,0.0010611468654824084,0.0004560093481916379,0.00037866834963710955,0.0007561039642950905,0.0019250962548127406,0.0008917730160569525,0.001148105625717566,0.0005591863838115542,0.0010921501706484642,0.0009961326614320869,,0.0005081908406074376
4,Самуэльссон,9.902215620745142e-05,,0.001954452753229096,2.4876550120029354e-05,,0.0012247397428046538,,5.4790231684408274e-05,,,4.2621204049014384e-05,1.5562749003984063e-05,2.6142196118755287e-05,0.00010609141543630094,,,,,,,,,,,,,6.890564061574081e-06,5.700116852395474e-05,,0.0005670779732213179,,1.007653125488082e-05,,3.494914898822214e-05,0.000136518771331058,,,
5,Сибелиус,,,,,,,,,,,,,,,,,,,,,,,0.0051457975986277885,,,,,,,,,,,,,,,
6,Вдовин,7.426661715558858e-05,,,7.462965036008807e-05,5.038291011688835e-05,,,3.913587977457733e-05,,,,,0.00013071098059377645,,,,,,,,,8.235366782648082e-05,0.003430531732418525,,2.365464222353637e-05,,1.378112812314816e-05,7.125146065494343e-05,1.0518565267697487e-05,,8.750437521876094e-05,2.015306250976164e-05,,0.0002096948939293328,,,,2.9893578859261028e-05
7,Ткачев,7.426661715558858e-05,,,0.00017413585084020546,,0.0016329863237395388,,0.00010175328741390107,,,6.393180607352158e-05,9.337649402390438e-05,1.7428130745836856e-05,5.304570771815047e-05,0.0001006137438374082,0.00011976765075753039,,2.2237046920169e-05,,,,,,,4.730928444707274e-05,,5.512451249259264e-05,8.550175278593211e-05,1.0518565267697487e-05,0.0005250721974271463,,0.00011084184380368901,,,,,,
8,Приходько,4.951107810372571e-05,,,0.00011194447554013208,0.00010076582023377672,,7.046223224351747e-05,8.609893550407013e-05,0.0001122208506340478,,0.00011720831113478956,6.225099601593625e-05,1.7428130745836856e-05,7.07276102908673e-05,,0.00011976765075753039,2.497377753358973e-05,,,6.667111140742716e-05,,,,,4.730928444707274e-05,,0.0004134338436944448,,0.0001367413484800673,,,0.0004887117658617197,,,,,,0.00023914863087408822
9,Кличко,0.0006188884762965714,,0.000849762066621346,4.975310024005871e-05,,0.0008164931618697694,0.0002818489289740699,0.000688791484032561,0.00033666255190214334,,0.0003622802344166223,0.0005291334661354581,0.0002091375689500423,0.0004950932720360711,,5.9883825378765195e-05,0.00017481644273512813,,,,,0.0007000061765250871,,,0.00047309284447072733,,0.0002480603062166669,9.97520449169208e-05,0.000431261175975597,0.000273037542662116,0.0002625131256562828,7.557398441160615e-05,,0.0001048474469646664,,,,0.0003886165251703934
10,Защитник,0.00022279985146676567,,,0.00017413585084020546,0.00010076582023377672,0.0024494794856093076,7.046223224351747e-05,0.0008688165309956168,0.0001122208506340478,,0.00020245071923281836,9.337649402390438e-05,6.0998457610429e-05,7.07276102908673e-05,0.0013079786698863064,5.9883825378765195e-05,2.497377753358973e-05,,,0.0008667244482965531,,,,,4.730928444707274e-05,,3.44528203078704e-05,1.4250292130988685e-05,2.103713053539497e-05,0.001533210816487267,8.750437521876094e-05,5.03826562744041e-05,,,,,,
11,Витгенштейн,,,,,,,,,,,,,1.7428130745836856e-05,,,,,,,,,,0.0051457975986277885,,,,,,,,,,,,,0.00011719207781553967,,
12,Полузащитник,4.951107810372571e-05,,0.0001699524133242692,,,,,0.0007279273638071382,,,0.00029834842834310066,7.781374501992033e-05,0.00013942504596669485,3.536380514543365e-05,,,,0.00013342228152101398,,,,,,,2.365464222353637e-05,,,1.4250292130988685e-05,,3.150433184562877e-05,,,,,,,,
13,Винер,0.00012377769525931428,,0.0014445955132562885,,,,,0.00010175328741390107,,,,,5.2284392237510575e-05,8.840951286358412e-05,,,2.497377753358973e-05,4.4474093840338e-05,,,,,,,4.730928444707274e-05,,,9.97520449169208e-05,1.0518565267697487e-05,0.00018902599107377264,,1.5114796882321231e-05,,3.494914898822214e-05,,,,2.9893578859261028e-05
14,Спиноза,,,,,,,,,,,,,,,,,,,,,,,0.0017152658662092624,,,,,,,,,,,,,,,
15,Гнесин,2.4755539051862852e-05,,,2.4876550120029354e-05,,,,7.827175954915466e-06,,,,,1.7428130745836856e-05,,,,,,,,,,,,,,,,,,0.001225061253062653,1.007653125488082e-05,,,,,,
16,Уквз,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001769911504424779,
17,Преподаватель,0.000841688327763337,,,0.00019901240096023483,0.0002015316404675534,,,5.4790231684408274e-05,0.0002244417012680956,,4.2621204049014384e-05,3.112549800796813e-05,0.00020042350357712382,1.7681902572716824e-05,,0.00011976765075753039,,,,,,,,,,,2.756225624629632e-05,2.850058426197737e-05,1.0518565267697487e-05,,8.750437521876094e-05,2.519132813720205e-05,,6.989829797644427e-05,0.000136518771331058,,,
18,Украинец,4.951107810372571e-05,,,9.950620048011742e-05,,,,7.827175954915466e-05,0.0001122208506340478,,6.393180607352158e-05,1.5562749003984063e-05,6.0998457610429e-05,3.536380514543365e-05,,,0.00012486888766794862,,,6.667111140742716e-05,,4.117683391324041e-05,,0.03225806451612903,7.096392667060911e-05,,1.378112812314816e-05,,,6.300866369125754e-05,,2.015306250976164e-05,,0.0001747457449411107,,0.0002343841556310793,,8.96807365777831e-05
19,Крамер,4.951107810372571e-05,,0.0015295717199184226,4.975310024005871e-05,,,0.00014092446448703494,0.00013306199123356294,,,2.1310602024507192e-05,4.668824701195219e-05,1.7428130745836856e-05,,,,4.994755506717946e-05,,,,,,,,,,,,,0.0005670779732213179,,2.015306250976164e-05,,,,,,2.9893578859261028e-05
20,Высоцкий,0.00069315509345216,,,0.0002612037762603082,0.0017130189439742039,,0.0004227733934611048,0.00013306199123356294,,,6.393180607352158e-05,0.00010893924302788844,0.0004705595301375951,8.840951286358412e-05,,0.00023953530151506078,0.0007991608810748714,0.00013342228152101398,,0.0003333555570371358,,,,,,,6.201507655416674e-05,0.00024225496622680762,7.362995687388241e-05,4.2005775794171696e-05,0.0008750437521876092,5.5420921901844504e-05,,,,0.0002343841556310793,0.005309734513274336,2.9893578859261028e-05
21,Владимир,0.0007921772496596114,,,0.000385586526860455,0.0009572752922208787,,0.0004227733934611048,5.4790231684408274e-05,0.0002244417012680956,,2.1310602024507192e-05,0.00015562749003984066,0.0004705595301375951,,,0.00017965147613629558,0.0007991608810748714,,,0.0003333555570371358,,4.117683391324041e-05,,,,,6.201507655416674e-05,0.00025650525835779634,6.311139160618491e-05,2.1002887897085848e-05,0.0007000350017500875,2.519132813720205e-05,,6.989829797644427e-05,0.000273037542662116,,,2.9893578859261028e-05
22,Березкин,,,,2.4876550120029354e-05,,,,0.0005400751408891672,,,4.2621204049014384e-05,,1.7428130745836856e-05,0.0011493236672265935,,,,4.4474093840338e-05,,,,,,,,,5.512451249259264e-05,,,,,0.0001309949063134507,,,,,,
23,Морган,0.00014853323431117713,,0.0002549286199864038,0.00011194447554013208,,,7.046223224351747e-05,0.0003443957420162805,0.0002244417012680956,,0.0001704848161960575,0.0001245019920318725,6.971252298334742e-05,0.0002475466360180356,,,4.994755506717946e-05,,,6.667111140742716e-05,0.004149377593360996,0.00020588416956620205,,,0.0002128917800118273,,0.00026184143433981505,5.700116852395474e-05,0.00022088987062164717,0.000273037542662116,,0.0003728316564305904,,0.0002795931919057771,0.00040955631399317407,,,5.9787157718522055e-05
