,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,26,731,109,0,0,59,0,2,0,61,0,5,7,0
1,2,28,714,104,0,2,20,0,9,0,91,4,8,8,0
2,0,44,632,83,0,3,40,0,9,0,171,5,6,7,0
3,0,25,791,107,0,1,27,0,13,0,16,1,4,12,1
4,0,54,700,96,0,19,29,1,56,0,7,7,18,13,0
5,0,23,829,86,0,0,27,0,17,0,6,0,2,8,0
6,0,20,844,58,0,0,45,0,9,0,14,1,3,6,0
7,0,18,820,82,0,4,30,0,20,0,9,2,2,13,0
8,0,4,874,24,0,0,47,0,0,0,46,1,1,3,0
9,0,28,871,23,0,0,55,0,5,0,12,1,2,3,0
10,0,1,939,23,0,0,24,0,1,0,2,0,2,8,0
11,0,39,732,100,1,13,46,0,25,0,2,9,24,8,1
12,0,10,780,163,0,1,19,0,11,0,3,0,7,6,0
13,0,2,909,62,0,0,21,0,2,0,0,0,0,3,0
14,0,3,934,27,0,0,26,0,1,0,0,0,0,8,0
15,0,1,935,31,0,0,21,2,2,0,3,3,0,0,1
16,0,0,946,33,0,0,12,5,0,0,2,1,0,1,0
17,1,8,878,67,0,2,24,0,15,0,0,0,5,0,0
18,0,40,681,51,24,19,60,5,40,10,2,24,17,7,20
19,0,0,959,4,0,0,35,0,0,0,2,0,0,0,0
20,0,0,458,2,0,0,0,0,0,0,38,0,0,1,0
21,0,1,794,96,0,0,3,0,5,0,95,0,0,6,0
22,0,0,690,31,0,0,0,0,11,0,39,0,0,1,0
23,0,1,895,100,0,0,2,0,1,0,0,0,0,1,0
24,0,0,767,215,0,1,1,0,5,0,6,3,2,0,0
25,0,5,83,42,0,3,0,0,16,0,0,0,2,849,0
26,0,21,106,90,0,67,0,0,258,0,0,17,7,28,2
27,0,1,684,61,0,1,0,0,4,0,0,0,0,249,0
28,1,9,828,40,0,0,60,0,2,0,46,0,6,7,0
29,0,50,796,79,0,0,42,0,7,0,9,0,8,8,0
30,0,11,934,19,0,3,2,0,3,0,2,2,22,2,0
31,0,11,811,59,0,0,54,0,0,0,60,0,2,3,0
32,0,0,964,19,0,0,1,0,1,0,13,0,0,2,0
33,0,10,872,40,0,0,47,0,1,0,1,2,5,12,0
34,0,9,845,93,0,0,12,0,11,0,11,3,4,8,0
35,0,0,892,106,0,0,0,0,0,0,0,0,1,1,0
36,0,22,858,52,1,2,21,0,7,0,24,5,1,6,0
37,0,0,914,58,0,0,0,0,0,0,19,1,0,8,0
